Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Rolls-Royce,Trent 772-60,A330-242/-342,71100,316268,11500,51155,0.400,1.1239E-05,0.565,1.5877E-05,36.80,35000,10.668,218.818,0.82,2.5018E-08,9.7938E-06,4.89,1990,10550,4785,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 772B-60,A330-243/-343X,71102,316277,11500,51155,NA,NA,0.565,1.5877E-05,36.80,39000,11.887,216.650,0.82,NA,NA,4.89,1995,10470,4749,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 775-60,"A330-244, A330-344 (option)",75150,334284,NA,NA,NA,NA,NA,NA,39.00,NA,NA,NA,NA,NA,NA,4.77,NA,NA,NA,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 8104,Technology demonstrator,104000,462615,NA,NA,NA,NA,NA,NA,45.00,NA,NA,NA,NA,NA,NA,5.80,NA,14400,6532,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 871-17,777-200,71000,315824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 875-17,777-200,77900,346516,NA,NA,NA,NA,NA,NA,34.90,NA,NA,NA,NA,NA,NA,6.21,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 877-17,777-200,80720,359060,NA,NA,NA,NA,NA,NA,35.90,NA,NA,NA,NA,NA,NA,6.15,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 882-17,777-200 (option),84700,376764,NA,NA,NA,NA,NA,NA,38.80,NA,NA,NA,NA,NA,NA,NA,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 884-17,777-200/-200ER,86910,386595,NA,NA,NA,NA,NA,NA,39.80,NA,NA,NA,NA,NA,NA,5.95,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 884B-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,NA,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 890-17,"777-200ER/-300, Tu-304 (proposed)",91300,406122,13000,57827,0.400,1.1239E-05,0.557,1.5652E-05,42.70,35000,10.668,218.818,0.83,2.3803E-08,9.7938E-06,4.79,1970,13100,5942,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 892-17,777-200ER/-300/-300ER,91450,406790,13000,57827,0.590,1.6577E-05,0.560,1.5737E-05,40.80,35000,10.668,218.818,0.83,5.2446E-09,1.4446E-05,5.79,1970,13130,5956,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 892B-17,NA,91600,407457,13000,57827,0.590,1.6577E-05,0.560,1.5737E-05,NA,35000,10.668,218.818,0.83,5.2446E-09,1.4446E-05,4.45,1970,13130,5956,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 895-17,"777-200ER, 777-300/-300ER (option)",95000,422581,NA,NA,0.560,1.5735E-05,NA,NA,41.60,NA,NA,NA,NA,NA,NA,5.79,1970,13190,5983,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 895C-17,"777-200ER, 777-300/-300ER (option)",95000,422581,NA,NA,0.330,9.2721E-06,NA,NA,41.60,NA,NA,NA,NA,NA,NA,7.79,1970,13190,5983,3,110.00,2.7940,172.00,4.3688,NA,NA,NA,,,,,
Rolls-Royce,Trent 970-84,A380-841,75150,334284,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,0.85,NA,NA,5.86,2005,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Rolls-Royce,Trent 970B-84,A380-841,78300,348296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,7.10,NA,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Rolls-Royce,Trent 975,747-500X/-600X (not produced),75000,333617,NA,NA,0.330,9.2721E-06,NA,NA,35.80,NA,NA,NA,NA,NA,NA,7.80,1996,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Rolls-Royce,Trent 977-84,A380-843F,80780,359327,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,2005,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Rolls-Royce,Trent 977B-84,A380-843F,83835,372917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10,NA,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Rolls-Royce,Trent 980-84,A380-84?/-84?F (proposed future engine choice),84100,374095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10,NA,13830,6273,3,110.00,2.7940,208.80,5.3035,155.20,3.9421,64.7299,,,,,
Microturbo,TRS 18-1,Microjet 200,260,1157,NA,NA,NA,NA,NA,NA,4.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
International Aero Engines,V2500-A1,A320-231,24799,110311,5070,22552,0.350,9.8341E-06,0.590,1.6580E-05,29.70,35000,10.668,218.818,0.80,3.3765E-08,8.5695E-06,5.40,1989,5070,2300,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2522-A5,A319-131,23041,102491,5185,23064,0.340,9.5531E-06,0.580,1.6299E-05,25.20,35000,10.668,218.818,0.80,3.3613E-08,8.3247E-06,4.90,1993,5230,2372,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2522-D5,MD-90-10 (not produced),22000,97861,5185,23064,0.340,9.5531E-06,0.580,1.6299E-05,25.20,35000,10.668,218.818,0.80,3.3613E-08,8.3247E-06,4.90,1993,5230,2372,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2524-A5,A319-132/-132CJ,24480,108892,NA,NA,0.360,1.0115E-05,0.596,1.6748E-05,26.50,37000,11.278,216.650,0.78,3.4663E-08,8.7706E-06,4.90,NA,5140,2331,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2525-D5,MD-90-30,25000,111206,5773,25680,0.350,9.8341E-06,0.590,1.6580E-05,27.70,35000,10.668,218.818,0.80,3.3765E-08,8.5695E-06,4.80,1994,5250,2381,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2527-A5,"A319-133CJ/-133XCJ, A320-232",24799,110311,NA,NA,0.360,1.0115E-05,0.595,1.6720E-05,27.40,37000,11.278,216.650,0.78,3.4541E-08,8.7706E-06,4.80,NA,5140,2331,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2527E-A5,A320-233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2527M-A5,A319-133CJ/-133XCJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2528-D5,MD-90-30/-30ER,28000,124550,5773,25680,0.350,9.8341E-06,0.574,1.6130E-05,30.40,35000,10.668,218.818,0.80,3.1870E-08,8.5695E-06,4.70,NA,5250,2381,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2530-A5,A321-131/-232,29900,133002,NA,NA,0.360,1.0115E-05,0.576,1.6186E-05,31.60,37000,11.278,216.650,0.78,3.2221E-08,8.7706E-06,4.60,NA,5140,2331,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2530-D5,MD-90-50 (not produced),30000,133447,5773,25680,0.360,1.0115E-05,0.574,1.6130E-05,31.60,35000,10.668,218.818,0.80,3.0838E-08,8.8144E-06,4.60,1994,5252,2382,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
International Aero Engines,V2533-A5,A321-231,31599,140559,5725,25466,0.370,1.0396E-05,0.580,1.6299E-05,33.40,35000,10.668,218.818,0.80,3.0516E-08,9.0592E-06,4.50,1994,5140,2331,2,63.50,1.6129,126.00,3.2004,67.50,1.7145,7.3887,,,,,
Bristol Siddeley (Rolls-Royce),Viper Mk.520,DH 125-1,3100,13789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Bristol Siddeley (Rolls-Royce),Viper Mk.521,DH 125-1A/-1B/-2,3100,13789,NA,NA,0.990,2.7816E-05,NA,NA,5.60,NA,NA,NA,NA,NA,NA,NA,1951,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Bristol Siddeley (Rolls-Royce),Viper Mk.522,HS 125-3/-3A/-3B/-400B/-403B/-600 ,3360,14946,NA,NA,1.000,2.8097E-05,NA,NA,5.60,NA,NA,NA,NA,NA,NA,NA,1951,760,345,1,NA,NA,92.90,2.3597,28.90,0.7341,0.9986,,,,,
Bristol Siddeley (Rolls-Royce),Viper Mk.526,PD-808,3360,14946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Viper Mk.600,NA,3750,16681,NA,NA,0.950,2.6692E-05,NA,NA,5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Viper Mk.601-22,HS 125-600B,3750,16681,NA,NA,0.950,2.6692E-05,NA,NA,5.80,NA,NA,NA,NA,NA,NA,0.67,1980,790,358,1,NA,NA,113.90,2.8931,28.90,0.7341,1.2244,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
